#Ten minute radio light curves of 4U 1728-34. The MJD provided is the mid-point of the 10-minute long time bin. S5.5 is the flux density at 5.5GHz in mJy, S5.5_err is the 1-sigma uncertainty in mJy. S9 is the flux density at 9GHz in mJy, S9_err is the 1-sigma uncertainty in mJy.
#MJD S5.5 S5.5_err S9 S9_err
#Epoch 1
59309.7171  0.775  0.048  0.913  0.040
59309.7241  0.887  0.048  0.957  0.040
59309.7310  1.048  0.048  1.176  0.040
59309.7380  0.781  0.048  0.836  0.040
59309.7449  0.853  0.048  0.926  0.040
59309.7518  0.752  0.048  0.807  0.040
59309.7588  0.823  0.048  0.844  0.040
59309.7657  0.773  0.048  0.862  0.040
59309.7727  0.789  0.048  0.942  0.040
59309.7796  0.731  0.048  1.039  0.040
59309.7861  0.779  0.048  0.93  0.040
